funding,keyword,sum_paper
The National Science Foundation,forth (programming language),1
The National Science Foundation,standards,1
The National Science Foundation,application developers,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep disorders,1
The National Science Foundation,head mounted displays,1
The National Science Foundation,graphical displays,1
The National Science Foundation,data presentation,1
The National Science Foundation,helmet mounted displays,1
The National Science Foundation,c++ (programming language),1
The National Science Foundation,technical communications,1
The National Science Foundation,reasoning algorithms,1
The National Science Foundation,ontology language,1
The National Science Foundation,closed world assumption,1
The National Science Foundation,best practice guide,1
The National Science Foundation,tableau algorithm,1
The National Science Foundation,horn logic,1
The National Science Foundation,expressive description logic,1
The National Science Foundation,geoscience,1
The National Science Foundation,collaborative modelling,1
The National Science Foundation,research problems,1
The National Science Foundation,logical foundations,1
The National Science Foundation,heterogeneous domains,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,medical conditions,1
LPDP - Ministry of Finance Republic of Indonesia,e-learning,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,sleep pattern,1
University of Edinburgh,dependency parser,1
PTUPT Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,tourism,1
PTUPT Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,deep learning,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",meta-cognitive learning,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",learning environments,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",in-buildings,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",digital learning environment,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",learning goals,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",metacognitives,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",learning process,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",computer aided instruction,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",learning systems,1
"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",e-learning,1
"The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia",model template controller,1
"The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia",higher educational institution,1
"The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia",academic information system,1
"The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia",cloud computing,1
"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services",model template controller,1
"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services",higher educational institution,1
"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services",academic information system,1
"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services",cloud computing,1
University of Edinburgh,treebanks,1
PTUPT Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,betawi,1
PTUPT Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,image detection,1
PTUPT Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,traditional food,1
The Free University of Bozen-Bolzano,amount of information,1
Czech Ministry of Industry and Trade,doppler shift,1
University of Pardubice,wind farm,1
University of Pardubice,doppler shift,1
The Free University of Bozen-Bolzano,perfect recalls,1
The Free University of Bozen-Bolzano,evaluation results,1
The Free University of Bozen-Bolzano,cardinalities,1
The Free University of Bozen-Bolzano,meta information,1
The Free University of Bozen-Bolzano,index structure,1
The Free University of Bozen-Bolzano,implementation techniques,1
The Free University of Bozen-Bolzano,knowledge graphs,1
The Free University of Bozen-Bolzano,big data,1
The Free University of Bozen-Bolzano,query completeness,1
The Free University of Bozen-Bolzano,data quality,1
The Free University of Bozen-Bolzano,data completeness,1
The Free University of Bozen-Bolzano,query processing,1
The Free University of Bozen-Bolzano,graphic methods,1
The Free University of Bozen-Bolzano,conditional random field,1
The Free University of Bozen-Bolzano,computational linguistics,1
The Free University of Bozen-Bolzano,security of data,1
The Free University of Bozen-Bolzano,semantic web,1
University of Edinburgh,network graph,1
University of Edinburgh,tri grams,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,3d gan,1
University of Edinburgh,sub-word units,1
The UK EPSRC Grant,character level,1
The UK EPSRC Grant,transfer learning,1
The UK EPSRC Grant,syntactics,1
The UK EPSRC Grant,forestry,1
The UK EPSRC Grant,long short-term memory,1
The UK EPSRC Grant,modeling languages,1
The UK EPSRC Grant,graphic methods,1
The UK EPSRC Grant,natural language processing systems,1
The UK EPSRC Grant,linguistics,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,work-load distribution,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,total computation time,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,shared memory architecture,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,point-to-point network,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,point-to-point communication,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,multicomputer systems,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,multicomputer network,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,empirical - comparisons,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,network architecture,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,electric power plant loads,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,information dissemination,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,memory architecture,1
The UK EPSRC Grant,language model,1
The UK EPSRC Grant,basic units,1
The UK EPSRC Grant,character representations,1
University of Edinburgh,long short-term memory,1
University of Edinburgh,predictive accuracy,1
University of Edinburgh,morphological analysis,1
University of Edinburgh,character representations,1
University of Edinburgh,basic units,1
University of Edinburgh,language model,1
University of Edinburgh,character level,1
University of Edinburgh,transfer learning,1
University of Edinburgh,syntactics,1
University of Edinburgh,forestry,1
University of Edinburgh,modeling languages,1
The UK EPSRC Grant,morphological analysis,1
University of Edinburgh,graphic methods,1
University of Edinburgh,natural language processing systems,1
University of Edinburgh,linguistics,1
The UK EPSRC Grant,treebanks,1
The UK EPSRC Grant,network graph,1
The UK EPSRC Grant,dependency parser,1
The UK EPSRC Grant,tri grams,1
The UK EPSRC Grant,sub-word units,1
The UK EPSRC Grant,predictive accuracy,1
Czech Ministry of Industry and Trade,wind farm,1
The National Institute of Information and Communications Technology (NICT) of Japan,decision trees,1
The National Institute of Information and Communications Technology (NICT) of Japan,image analysis,1
The National Institute of Information and Communications Technology (NICT) of Japan,transparent surfaces,1
Allen Institute for Artificial Intelligence,natural language processing systems,1
Allen Institute for Artificial Intelligence,semantics,1
Allen Institute for Artificial Intelligence,data mining,1
PhD scholarship - Fondazione Bruno Kessler,filling,1
PhD scholarship - Fondazione Bruno Kessler,multitask learning,1
PhD scholarship - Fondazione Bruno Kessler,language understanding,1
PhD scholarship - Fondazione Bruno Kessler,general knowledge,1
PhD scholarship - Fondazione Bruno Kessler,dialogue systems,1
PhD scholarship - Fondazione Bruno Kessler,competitive performance,1
PhD scholarship - Fondazione Bruno Kessler,speech processing,1
PhD scholarship - Fondazione Bruno Kessler,transfer learning,1
PhD scholarship - Fondazione Bruno Kessler,state of the art,1
PhD scholarship - Fondazione Bruno Kessler,named entity recognition,1
PhD scholarship - Fondazione Bruno Kessler,natural language processing systems,1
PhD scholarship - Fondazione Bruno Kessler,computational linguistics,1
PhD scholarship - Fondazione Bruno Kessler,knowledge management,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",text compressions,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",resource costs,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",compression mechanism,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",based modelling,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",arithmetic coders,1
Allen Institute for Artificial Intelligence,high quality,1
Allen Institute for Artificial Intelligence,integer programming,1
Allen Institute for Artificial Intelligence,ai systems,1
MCIT Republic of Indonesia,certificate policy,1
KOICA Republic of Korea,cp,1
KOICA Republic of Korea,certification practice statement,1
KOICA Republic of Korea,public key infrastructure,1
KOICA Republic of Korea,certificate policy,1
KOICA Republic of Korea,information security,1
MCIT Republic of Indonesia,cps,1
MCIT Republic of Indonesia,cp,1
MCIT Republic of Indonesia,certification practice statement,1
MCIT Republic of Indonesia,public key infrastructure,1
MCIT Republic of Indonesia,information security,1
Allen Institute for Artificial Intelligence,integer linear programs,1
"Research and Technology Transfer office (RTTO), Bina Nusantara University",supervised classification,1
"Research and Technology Transfer office (RTTO), Bina Nusantara University",maximum-likelihood classification,1
"Research and Technology Transfer office (RTTO), Bina Nusantara University",land cover classification of rsni-1 national standardization body of indonesia,1
"Research and Technology Transfer office (RTTO), Bina Nusantara University",land cover,1
Allen Institute for Artificial Intelligence,sentence level,1
Allen Institute for Artificial Intelligence,semantic role labeling,1
Allen Institute for Artificial Intelligence,role assignment,1
Allen Institute for Artificial Intelligence,real world situations,1
Allen Institute for Artificial Intelligence,process knowledge,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",backward wave tubes,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",text compression,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",recency ranking,1
The Singapore National Research Foundation,user generated content,1
World Bank Group,question type analysis,1
World Bank Group,hierarchical supervised learning,1
World Bank Group,answer quality,1
World Bank Group,question answering system,1
"I-MHERE Project - Faculty of Computer Science, Universitas Indonesia",user generated content,1
"I-MHERE Project - Faculty of Computer Science, Universitas Indonesia",question type analysis,1
"I-MHERE Project - Faculty of Computer Science, Universitas Indonesia",hierarchical supervised learning,1
"I-MHERE Project - Faculty of Computer Science, Universitas Indonesia",answer quality,1
"I-MHERE Project - Faculty of Computer Science, Universitas Indonesia",question answering system,1
The Singapore National Research Foundation,question type analysis,1
"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",question answering system,1
The Singapore National Research Foundation,hierarchical supervised learning,1
The Singapore National Research Foundation,answer quality,1
The Singapore National Research Foundation,question answering system,1
The National Institute of Information and Communications Technology (NICT) of Japan,reference points,1
The National Institute of Information and Communications Technology (NICT) of Japan,polarization images,1
The National Institute of Information and Communications Technology (NICT) of Japan,degree of polarization,1
The National Institute of Information and Communications Technology (NICT) of Japan,decision tree induction,1
The National Institute of Information and Communications Technology (NICT) of Japan,brewster angle,1
The National Institute of Information and Communications Technology (NICT) of Japan,polarization,1
World Bank Group,user generated content,1
"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",answer quality,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",move-to-front,1
European Union Funding,karatsuba,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",burrows-wheeler transformation,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",entropy coding,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",burrows-wheeler transform,1
"QUE Project - Faculty of Computer Science, Universitas Indonesia",data compression,1
"PEKERTI Grant - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",windowing methods,1
"PEKERTI Grant - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",signal filtering,1
"PEKERTI Grant - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",finite impulse response,1
"PEKERTI Grant - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",electroencephalography (eeg),1
"PEKERTI Grant - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",blackman window,1
European Union Funding,polynomial basis,1
"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",hierarchical supervised learning,1
European Union Funding,fpga.,1
European Union Funding,normal basis,1
European Union Funding,inversion,1
European Union Funding,rijndael cipher,1
European Union Funding,reed solomon,1
European Union Funding,vhdl,1
European Union Funding,galois field,1
"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",user generated content,1
"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",question type analysis,1
AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,scheduling,1
Apple Computer and the Digital Equipment Corporation External Research Program,technological change,1
Apple Computer and the Digital Equipment Corporation External Research Program,scalable performance,1
LPDP - Ministry of Finance Republic of Indonesia,document summarization,1
LPDP - Ministry of Finance Republic of Indonesia,character level,1
LPDP - Ministry of Finance Republic of Indonesia,gesture recognition,1
LPDP - Ministry of Finance Republic of Indonesia,transfer learning,1
LPDP - Ministry of Finance Republic of Indonesia,deep belief networks,1
LPDP - Ministry of Finance Republic of Indonesia,bidirectional long short-term memory,1
LPDP - Ministry of Finance Republic of Indonesia,syntactics,1
LPDP - Ministry of Finance Republic of Indonesia,pedagogical agent,1
LPDP - Ministry of Finance Republic of Indonesia,forestry,1
LPDP - Ministry of Finance Republic of Indonesia,random processes,1
LPDP - Ministry of Finance Republic of Indonesia,sleep stage classification,1
LPDP - Ministry of Finance Republic of Indonesia,modeling languages,1
LPDP - Ministry of Finance Republic of Indonesia,genetic algorithm,1
LPDP - Ministry of Finance Republic of Indonesia,image segmentation,1
LPDP - Ministry of Finance Republic of Indonesia,graphic methods,1
LPDP - Ministry of Finance Republic of Indonesia,pattern recognition,1
LPDP - Ministry of Finance Republic of Indonesia,conditional random field,1
LPDP - Ministry of Finance Republic of Indonesia,natural language processing systems,1
LPDP - Ministry of Finance Republic of Indonesia,linguistics,1
LPDP - Ministry of Finance Republic of Indonesia,optimization,1
LPDP - Ministry of Finance Republic of Indonesia,systematic literature review,1
Faculty of Computer Science - Universitas Indonesia,e-archives,1
LPDP - Ministry of Finance Republic of Indonesia,summarization,1
LPDP - Ministry of Finance Republic of Indonesia,education computing,1
LPDP - Ministry of Finance Republic of Indonesia,language model,1
LPDP - Ministry of Finance Republic of Indonesia,basic units,1
LPDP - Ministry of Finance Republic of Indonesia,answer-biased summaries,1
LPDP - Ministry of Finance Republic of Indonesia,treebanks,1
LPDP - Ministry of Finance Republic of Indonesia,network graph,1
LPDP - Ministry of Finance Republic of Indonesia,dependency parser,1
LPDP - Ministry of Finance Republic of Indonesia,tri grams,1
LPDP - Ministry of Finance Republic of Indonesia,sub-word units,1
LPDP - Ministry of Finance Republic of Indonesia,predictive accuracy,1
LPDP - Ministry of Finance Republic of Indonesia,morphological analysis,1
LPDP - Ministry of Finance Republic of Indonesia,character representations,1
LPDP - Ministry of Finance Republic of Indonesia,sequence data,1
LPDP - Ministry of Finance Republic of Indonesia,scientific workflow,1
LPDP - Ministry of Finance Republic of Indonesia,probabilistic graphical models,1
LPDP - Ministry of Finance Republic of Indonesia,internal structure,1
LPDP - Ministry of Finance Republic of Indonesia,external dynamics,1
LPDP - Ministry of Finance Republic of Indonesia,dynamic conditional random fields,1
LPDP - Ministry of Finance Republic of Indonesia,conditional models,1
LPDP - Ministry of Finance Republic of Indonesia,hidden markov models,1
LPDP - Ministry of Finance Republic of Indonesia,school allocation,1
LPDP - Ministry of Finance Republic of Indonesia,p-median problem,1
LPDP - Ministry of Finance Republic of Indonesia,location-allocation problem,1
GPU Grant - NVIDIA,word boundary detection,1
GPU Grant - NVIDIA,3-dimensional convolutional neural network,1
GPU Grant - NVIDIA,activity video generation,1
GPU Grant - NVIDIA,recurrent neural networks,1
GPU Grant - NVIDIA,convolutional neural networks (cnn),1
GPU Grant - NVIDIA,sleep stages,1
GPU Grant - NVIDIA,structural fatigue,1
GPU Grant - NVIDIA,sleep stages classifications,1
GPU Grant - NVIDIA,sleep stage,1
GPU Grant - NVIDIA,word segmentation,1
GPU Grant - NVIDIA,character level,1
GPU Grant - NVIDIA,speech analysis,1
GPU Grant - NVIDIA,deep belief networks,1
GPU Grant - NVIDIA,regression analysis,1
GPU Grant - NVIDIA,word accuracies,1
GPU Grant - NVIDIA,sleep research,1
GPU Grant - NVIDIA,diseases,1
GPU Grant - NVIDIA,long short-term memory,1
GPU Grant - NVIDIA,sleep stage classification,1
GPU Grant - NVIDIA,machine learning,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,relevance vector machine,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,human gesture recognition,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,distribution-sensitive learning,1
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,activity video generation,1
GPU Grant - NVIDIA,on-machines,1
GPU Grant - NVIDIA,children with autisms,1
GPU Grant - NVIDIA,3d gan,1
GPU Grant - NVIDIA,variable length,1
GPU Grant - NVIDIA,crack growth rate,1
GPU Grant - NVIDIA,bi-directional lstm,1
GPU Grant - NVIDIA,visual speech,1
GPU Grant - NVIDIA,single-modal,1
GPU Grant - NVIDIA,simple structures,1
GPU Grant - NVIDIA,automatic speech recognition,1
GPU Grant - NVIDIA,audio-visual speech,1
GPU Grant - NVIDIA,acoustic speech,1
GPU Grant - NVIDIA,visual speech recognition,1
GPU Grant - NVIDIA,spatio temporal features,1
GPU Grant - NVIDIA,visual languages,1
GPU Grant - NVIDIA,silent speech interfaces,1
GPU Grant - NVIDIA,audition,1
GPU Grant - NVIDIA,sleep pattern,1
GPU Grant - NVIDIA,sleep disorders,1
GPU Grant - NVIDIA,medical conditions,1
GPU Grant - NVIDIA,hidden markov models,1
GPU Grant - NVIDIA,sleep disorder,1
GPU Grant - NVIDIA,fuzzy clustering,1
GPU Grant - NVIDIA,high quality,1
LPDP - Ministry of Finance Republic of Indonesia,cqa,1
LPDP - Ministry of Finance Republic of Indonesia,learning-to-rank,1
Apple Computer and the Digital Equipment Corporation External Research Program,performance tools,1
LPDP - Ministry of Finance Republic of Indonesia,answer summaries,1
The National Aeronautics and Space Administration (NASA),scalable performance,1
The National Aeronautics and Space Administration (NASA),performance tools,1
The National Aeronautics and Space Administration (NASA),internal definitions,1
The National Aeronautics and Space Administration (NASA),head mounted displays,1
The National Aeronautics and Space Administration (NASA),graphical displays,1
The National Aeronautics and Space Administration (NASA),data presentation,1
The National Aeronautics and Space Administration (NASA),helmet mounted displays,1
The National Aeronautics and Space Administration (NASA),c++ (programming language),1
The National Aeronautics and Space Administration (NASA),information dissemination,1
The National Aeronautics and Space Administration (NASA),performance analysis,1
The National Aeronautics and Space Administration (NASA),directed graphs,1
The National Aeronautics and Space Administration (NASA),application programs,1
The National Aeronautics and Space Administration (NASA),information analysis,1
The National Aeronautics and Space Administration (NASA),scheduling,1
The National Aeronautics and Space Administration (NASA),metadata,1
The National Aeronautics and Space Administration (NASA),data handling,1
The United States Agency for International Development (USAID),parallelization,1
The United States Agency for International Development (USAID),spark (key words),1
The United States Agency for International Development (USAID),ensemble learning,1
The United States Agency for International Development (USAID),measurement tool,1
The United States Agency for International Development (USAID),heart rate,1
The National Aeronautics and Space Administration (NASA),technological change,1
The National Aeronautics and Space Administration (NASA),electric power plant loads,1
The National Aeronautics and Space Administration (NASA),network architecture,1
Apple Computer and the Digital Equipment Corporation External Research Program,application programs,1
Apple Computer and the Digital Equipment Corporation External Research Program,internal definitions,1
Apple Computer and the Digital Equipment Corporation External Research Program,head mounted displays,1
Apple Computer and the Digital Equipment Corporation External Research Program,graphical displays,1
Apple Computer and the Digital Equipment Corporation External Research Program,data presentation,1
Apple Computer and the Digital Equipment Corporation External Research Program,helmet mounted displays,1
Apple Computer and the Digital Equipment Corporation External Research Program,c++ (programming language),1
Apple Computer and the Digital Equipment Corporation External Research Program,memory architecture,1
Apple Computer and the Digital Equipment Corporation External Research Program,performance analysis,1
Apple Computer and the Digital Equipment Corporation External Research Program,directed graphs,1
Apple Computer and the Digital Equipment Corporation External Research Program,information analysis,1
The National Aeronautics and Space Administration (NASA),empirical - comparisons,1
Apple Computer and the Digital Equipment Corporation External Research Program,metadata,1
Apple Computer and the Digital Equipment Corporation External Research Program,data handling,1
The National Aeronautics and Space Administration (NASA),work-load distribution,1
The National Aeronautics and Space Administration (NASA),total computation time,1
The National Aeronautics and Space Administration (NASA),shared memory architecture,1
The National Aeronautics and Space Administration (NASA),point-to-point network,1
The National Aeronautics and Space Administration (NASA),point-to-point communication,1
The National Aeronautics and Space Administration (NASA),multicomputer systems,1
The National Aeronautics and Space Administration (NASA),multicomputer network,1
The United States Agency for International Development (USAID),drowsiness,1
The United States Agency for International Development (USAID),car driver,1
The United States Agency for International Development (USAID),blood pressure,1
PDD Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,shallow learning,1
Diponegoro University,integrated visual vocabulary,1
Diponegoro University,ikonos,1
Diponegoro University,bag of visual words,1
Diponegoro University,latent dirichlet allocation,1
"Sandwich-Like Program - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",scene classification,1
"Sandwich-Like Program - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",integrated visual vocabulary,1
"Sandwich-Like Program - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",ikonos,1
"Sandwich-Like Program - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",bag of visual words,1
"Sandwich-Like Program - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",latent dirichlet allocation,1
PDD Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,insufficiently supported argument,1
European Space Agency,remote sensing,1
PDD Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,hierarchical attention network,1
PDD Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,xgboost,1
PDD Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,deep learning,1
LPDP - Ministry of Finance Republic of Indonesia,task runtime prediction,1
LPDP - Ministry of Finance Republic of Indonesia,online incremental learning,1
LPDP - Ministry of Finance Republic of Indonesia,teachable agent,1
LPDP - Ministry of Finance Republic of Indonesia,learning outcome,1
LPDP - Ministry of Finance Republic of Indonesia,learning motivation,1
LPDP - Ministry of Finance Republic of Indonesia,agent role,1
Diponegoro University,scene classification,1
European Space Agency,inverse problems,1
The United States Agency for International Development (USAID),instantaneous frequency,1
The United States Agency for International Development (USAID),imbalanced data,1
The United States Agency for International Development (USAID),adaptive fourier decomposition,1
The United States Agency for International Development (USAID),security promotion,1
The United States Agency for International Development (USAID),positive security behavior,1
The United States Agency for International Development (USAID),noise reduction,1
The United States Agency for International Development (USAID),bitcoin,1
The United States Agency for International Development (USAID),conceptual model,1
The United States Agency for International Development (USAID),gpu,1
The United States Agency for International Development (USAID),electrocardiogram,1
The United States Agency for International Development (USAID),spark,1
The United States Agency for International Development (USAID),iot,1
European Space Agency,sea,1
The United States Agency for International Development (USAID),big data,1
Hibah Riset Awal -  Universitas Indonesia and Directorate of Higher Education MP3EI,traffic visualization,1
Hibah Riset Awal -  Universitas Indonesia and Directorate of Higher Education MP3EI,traffic prediction,1
Hibah Riset Awal -  Universitas Indonesia and Directorate of Higher Education MP3EI,intelligent traffic systems,1
Hibah Riset Awal -  Universitas Indonesia and Directorate of Higher Education MP3EI,data stream,1
Hibah Q1Q2 - Universitas Indonesia,tree regression,1
Hibah Q1Q2 - Universitas Indonesia,big data prediction,1
Hibah Q1Q2 - Universitas Indonesia,ardev,1
Hibah Q1Q2 - Universitas Indonesia,fimt-dd,1
Faculty of Computer Science - Universitas Indonesia,e-records,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,healthcare,1
Faculty of Computer Science - Universitas Indonesia,perceived transparency,1
Hibah PITTA - Universitas Indonesia,object oriented programming,1
Hibah PITTA - Universitas Indonesia,budget control,1
Hibah PITTA - Universitas Indonesia,user interface design,1
Hibah PITTA - Universitas Indonesia,software product lines engineering,1
Hibah PITTA - Universitas Indonesia,interaction flow modeling language,1
Hibah PITTA - Universitas Indonesia,delta oriented programming,1
Hibah PITTA - Universitas Indonesia,system characteristis,1
Hibah PITTA - Universitas Indonesia,online review,1
Hibah PITTA - Universitas Indonesia,intention to travel,1
Hibah PITTA - Universitas Indonesia,information characteristic,1
Hibah PITTA - Universitas Indonesia,informant characteristic,1
Hibah PITTA - Universitas Indonesia,technology readiness,1
Hibah PITTA - Universitas Indonesia,the displacement of the trust,1
Hibah PITTA - Universitas Indonesia,c2c e-marketplace,1
Hibah PITTA - Universitas Indonesia,a source of trust,1
Hibah PITTA - Universitas Indonesia,knowledge contributing behavior,1
Hibah PITTA - Universitas Indonesia,knowledge collecting behavior,1
Hibah PITTA - Universitas Indonesia,internal factors,1
Hibah PITTA - Universitas Indonesia,account promotion,1
Hibah PITTA - Universitas Indonesia,perceived enjoyment,1
Hibah PITTA - Universitas Indonesia,mobile banking,1
Hibah PITTA - Universitas Indonesia,intrinsic,1
Hibah PITTA - Universitas Indonesia,industrial research,1
Hibah PITTA - Universitas Indonesia,behavioural specifications,1
Hibah PITTA - Universitas Indonesia,obia,1
Hibah PITTA - Universitas Indonesia,development process,1
Hibah PITTA - Universitas Indonesia,coral limestone,1
Hibah PITTA - Universitas Indonesia,biak,1
Hibah PITTA - Universitas Indonesia,user profile,1
Hibah PITTA - Universitas Indonesia,yamo,1
Hibah PITTA - Universitas Indonesia,tove,1
Hibah PITTA - Universitas Indonesia,methontology,1
Hibah PITTA - Universitas Indonesia,certification competency,1
Hibah PITTA - Universitas Indonesia,learning from unlabeled data framework,1
Hibah PITTA - Universitas Indonesia,deep learning neural network,1
Hibah PITTA - Universitas Indonesia,software product line engineering,1
Hibah PITTA - Universitas Indonesia,microservices,1
Hibah PITTA - Universitas Indonesia,system generation,1
Hibah PITTA - Universitas Indonesia,small organizations,1
Hibah PITTA - Universitas Indonesia,open source application,1
Hibah PITTA - Universitas Indonesia,not-for-profit organization,1
Hibah PITTA - Universitas Indonesia,it supports,1
Hibah PITTA - Universitas Indonesia,critical issues,1
Hibah PITTA - Universitas Indonesia,software variabilities,1
Hibah PITTA - Universitas Indonesia,quality of product,1
Hibah PITTA - Universitas Indonesia,ontology-based information systems,1
Hibah PITTA - Universitas Indonesia,distributed object-oriented systems,1
Hibah PITTA - Universitas Indonesia,expectation-confirmation model,1
Hibah PITTA - Universitas Indonesia,open data principles,1
Hibah PITTA - Universitas Indonesia,government website,1
Hibah PITTA - Universitas Indonesia,data openness level,1
Hibah PITTA - Universitas Indonesia,sentiment,1
Hibah PITTA - Universitas Indonesia,online auction,1
Hibah PITTA - Universitas Indonesia,lexicon classification,1
Hibah PITTA - Universitas Indonesia,e-bay,1
Hibah PITTA - Universitas Indonesia,supreme court of ri,1
Hibah PITTA - Universitas Indonesia,mdm,1
Hibah PITTA - Universitas Indonesia,master data management maturity,1
Hibah PITTA - Universitas Indonesia,eemployees master data,1
Hibah PITTA - Universitas Indonesia,data quality maturity model,1
Hibah PITTA - Universitas Indonesia,data quality management,1
Hibah PITTA - Universitas Indonesia,behavior,1
Hibah PITTA - Universitas Indonesia,two-factor theory,1
Hibah PITTA - Universitas Indonesia,technology switching,1
Hibah PITTA - Universitas Indonesia,sem covariant based,1
Hibah PITTA - Universitas Indonesia,mobile website,1
Hibah PITTA - Universitas Indonesia,inhibitor,1
Hibah PITTA - Universitas Indonesia,enabler,1
Hibah PITTA - Universitas Indonesia,cultural heritage,1
Hibah PITTA - Universitas Indonesia,certification authority,1
Hibah PITTA - Universitas Indonesia,strategic information systems planning,1
Hibah PITTA - Universitas Indonesia,electronic government,1
Hibah PITTA - Universitas Indonesia,e-petition,1
Hibah PITTA - Universitas Indonesia,user-centered design,1
