keywords,sum_paper
behavioural specifications,1
development process,1
distributed object-oriented systems,1
ontology-based information systems,1
quality of product,1
software variabilities,1
specifications,1
automated analysis,1
automated features,1
feature modeling,1
software products,1
feature grouping,1
feature model,1
critical issues,1
it supports,1
not-for-profit organization,1
open source application,1
small organizations,1
system generation,1
microservices,1
software product line engineering,1
organization system,1
product configuration,1
product expression,1
product selection,1
set-theoretic operations,1
software product line engineerings,1
unified modelling language,1
distributed self-organizing control,1
multiway intersection,1
urban traffc control,1
distributed traffic control,1
swarm-self organizing map,1
algebraic data type,1
modular logic,1
syntax driven logic,1
verification tool,1
component based applications,1
compositionality,1
girvan-newman,1
infomap,1
modularity,1
wi-fi logs,1
change management,1
iso/iec 20000,1
itsm,1
video conference,1
dynamic difficulty adjustment,1
role playing game,1
deep learning neural network,1
learning from unlabeled data framework,1
ontology engineering process,1
owl ontologies,1
prototype implementations,1
semantic web technology,1
competence,1
decision support system,1
certification competency,1
methontology,1
tove,1
yamo,1
user profile,1
alignment system,1
complex correspondences,1
ontology alignment,1
data visualization,1
medical institutes,1
academic evaluation,1
hard-modeling,1
standard interface,1
user evaluations,1
class diagrams,1
logical axioms,1
nocv2,1
visual user interfaces,1
forth (programming language),1
standards,1
application developers,1
best practice guide,1
heterogeneous domains,1
logical foundations,1
research problems,1
foundational ontologies,1
decision support framework,1
design patterns,1
distributed data access,1
dynamic updating,1
geometric scale,1
level of detail,1
preference systems,1
chess,1
life cycle assessment,1
spatiotemporal scopes,1
core elements,1
final state,1
physical characteristics,1
research process,1
marine biology,1
biological oceanography,1
chemical oceanography,1
data repositories,1
environmental sensor systems,1
logistics project,1
oceanographic research,1
physical measurement,1
oceanographic cruise,1
ontology reuse,1
trajectory ontology,1
environmental impact,1
different domains,1
engineering models,1
heterogeneous sources,1
life cycle assessment (lca),1
life cycle inventories,1
production chain,1
reference data,1
data reuse,1
geoscience data,1
collaborative modelling,1
geoscience,1
intuitive modeling,1
reasoners,1
cooking recipe,1
cooking,1
transformation process,1
ocean science,1
functional constraints,1
geographic phenomena,1
geometric representation,1
scale levels,1
manchester,1
expressive description logic,1
horn logic,1
tableau algorithm,1
closed world assumption,1
design principles,1
ontology language,1
reasoning algorithms,1
technical communications,1
closed world,1
decidability,1
semantic web rule language,1
sroiq,1
complexity bounds,1
decision procedure,1
tableaux algorithm,1
local closed world,1
coupled oscillators,1
gas consumption,1
modification methods,1
phase delay,1
phase locked,1
real situation,1
signalized intersection,1
simulation and measurement,1
stop-and-go,1
traffic signal control,1
wear and tear,1
air quality,1
blind source separation,1
oscillators (electronic),1
street traffic control,1
conjunctive queries,1
data complexity,1
upper bound,1
description logics,1
global optimization,1
model checking,1
cp-abe,1
pairing encryption,1
personal health,1
secret handshake,1
data aggregation,1
privacy-preserving,1
trust management,1
machine type comunication,1
mtc,1
cmmi continuous representation,1
quality function deployment (qfd),1
software engineering process improvement,1
cmmi-svc,1
it infrastructure devices,1
managed service,1
pareto,1
process improvement,1
software test process improvement,1
software testing,1
test maturity model integration (tmmi),1
test spice,1
tpi next,1
fuzzy number,1
fuzzy weighted average,1
multi-criteria decision making,1
new options,1
system designers,1
user action,1
interaction logs,1
open-domain relation tuple,1
relation tuple similarity,1
vector representation,1
adaptive metric,1
average precision,1
adaptive,1
natural language,1
distributional semantics,1
language technology,1
mutual informations,1
restaurant reviews,1
under-resourced,1
unsupervised approaches,1
baseline models,1
microblogs,1
word level,1
bins,1
machine learning models,1
neighboring information,1
output layer,1
time step,1
inanlp,1
indonesia language,1
natural language processing toolkit,1
emotion analysis,1
emotion detection,1
two stage approach,1
buzzer detection,1
election prediction,1
twitter based election prediction,1
twitter data analysis,1
baseline systems,1
classifier models,1
polarity classification,1
training corpus,1
user-generated content,1
extension of hmm,1
compensation scheme,1
signature scheme,1
all or nothings,1
chosen-plaintext attack,1
ciphertexts,1
plaintext,1
proxy re encryptions,1
proxy re-encryption schemes,1
symmetric cipher,1
symmetric key cryptography,1
purposive sampling,1
smartpls,1
data lineage,1
e-science,1
provenance,1
access control model,1
all or nothing transform (aont),1
proxy re-encryption,1
symmetric key encryption,1
digital signature,1
directed acyclic graphs,1
security systems,1
data provenance,1
information technology systems,1
microsoft,1
national institute of standards,1
risk analysis and management methodology,1
risk analysis methods,1
security management,1
security risks,1
industrial management,1
risk assessment,1
safety factor,1
bioluminescence,1
zoning,1
firefly algorithms,1
p-median problems,1
school location,1
student distribution,1
student travel,1
travel distance,1
geophysical prospecting,1
geophysics,1
stereo image processing,1
approximation process,1
digital elevation model,1
gaussian process regression,1
least square support vector machines,1
ordinary kriging,1
stochastic interpolations,1
surveying,1
computational effort,1
environmental analysis,1
process settings,1
processing stage,1
quality assessment,1
sar radargrammetry,1
spatial resolution,1
optical correlation,1
biak,1
coral limestone,1
data-fusion,1
obia,1
papua,1
sar-interferometry,1
sentinel-ia,1
spot-6,1
argumentation mining,1
attention mechanism,1
hand-crafted features,1
sentence-level,1
word-level,1
dem,1
kriging,1
pixel size,1
sampling density,1
2dpca-svm,1
hog,1
multispectral image,1
shoreline,1
geotagged image,1
id3,1
business perspective,1
decision making process,1
fast-food restaurants,1
food services,1
location analysis,1
fingerprint recognition,1
telebiometric,1
diabetes mellitus,1
fuzzy clustering,1
sleep disorder,1
location-allocation problem,1
p-median problem,1
school allocation,1
hidden markov models,1
earth sciences,1
geology,1
prisms,1
tracking radar,1
accuracy analysis,1
earth's surface,1
fusion techniques,1
interpolation method,1
land-cover types,1
radar technology,1
satellite technology,1
spatial analysis,1
fast feature pyramids,1
gender,1
man woman,1
region based cnn,1
conditional models,1
dynamic conditional random fields,1
external dynamics,1
internal structure,1
probabilistic graphical models,1
sequence data,1
tree algorithm,1
water pumps,1
id cnn,1
ischemic,1
cifar10,1
metaheuristic,1
microcanonical annealing,1
mnist,1
cuckoo search,1
dogell,1
fetal head segmentation,1
flower pollination algorithm,1
apriori algorithm,1
association rule,1
fuzzy association rule,1
ovarian cancer,1
faster-rcnn,1
multiple object tracking,1
siamese neural network,1
fast food restaurant,1
spatial data,1
bayesian framework,1
optimal particle filter,1
short-term model-free tracking,1
spectral method,1
foundation,1
knowledge management solution,1
insufficiently supported argument,1
shallow learning,1
batik retrieval,1
feature reduction,1
sequential forward floating selection,1
classifier,1
convolution neural network,1
differential evolution,1
implementation strategies,1
machine learning techniques,1
meta heuristic algorithm,1
meta-heuristic methods,1
optimization techniques,1
physiology,1
half-join,1
symmetrical,1
mental health,1
batik motif retrieval system,1
content based image retrieval feature fusion,1
adaptive differential evolution,1
chaotic sequences,1
image contrast enhancement,1
abrupt motion tracking,1
casa,1
csh,1
simulated annealing algorithm,1
cattle,1
e-livestock indonesia,1
voting,1
image matching,1
boundary matching,1
image segmentation algorithm,1
local consistency,1
segmentation algorithms,1
segmentation techniques,1
technical evaluation,1
geographic areas,1
junior high schools,1
model prediction,1
number of datum,1
quality services,1
decision support system (dss),1
gis-based,1
government officials,1
web-based system,1
agriculture,1
real-time,1
metaheuristic algorithm,1
smartphone-photo,1
dance motion recognition and scoring,1
capacity,1
critical jam,1
density,1
flow,1
free flow speed,1
fundamental diagram,1
jam density,1
macroscopic model,1
non intrusive sensor,1
virtual detection zone,1
wave speed,1
signal compression,1
face distance estimation,1
bag of visual words,1
ikonos,1
integrated visual vocabulary,1
scene classification,1
region of interest (roi),1
magnetic resonance imaging,1
neurodegenerative diseases,1
alzheimer's,1
alzheimer's disease,1
local binary patterns,1
magnetic resonance images (mri),1
mild cognitive impairments (mci),1
orthogonal plane,1
support vector machine classifiers,1
beef cattle identification,1
matching refinement,1
muzzle pattern,1
centroid contour distance,1
flower image retrieval,1
hsv color,1
orchid,1
dance motion recognition,1
syntactic model,1
features sets,1
graph cut,1
gray level co occurrence matrix(glcm),1
rgb colors,1
segmentation methods,1
distance measure,1
keypoint,1
matching score,1
potential features,1
automata theory,1
linear regression,1
cellular automata modeling,1
classification analysis,1
clustering analysis,1
fire danger rating,1
geo-spatial data,1
land use and land cover,1
multiple linear regression analysis,1
spatio-temporal dynamics,1
blood,1
cells,1
detection methods,1
double thresholding,1
plasmodium parasites,1
positive value,1
red blood cell,1
gabor filter,1
gini index,1
greylevel co-occurrence probability (glcp),1
slums detection,1
background segmentation,1
human skin detection,1
race classification,1
texture descriptor,1
texture descriptors,1
typical application,1
color image processing,1
meats,1
digital image,1
features extraction,1
gray-level co-occurrence matrix,1
depth sensors,1
discriminative features,1
grammar inference,1
set of rules,1
training example,1
bali traditional dance,1
kinesthetic element,1
skeleton descriptor,1
expected benefits,1
sleep stages classification,1
temporal pattern,1
time delay neural network,1
balancing techniques,1
cumulative distribution function,1
data partition,1
dirichlet distributions,1
dirichlet process,1
medical data,1
multinomials,1
over sampling,1
roc curves,1
statistical properties,1
de-noised signals,1
de-noising,1
hard thresholding,1
minimax,1
neighbourhood,1
optimal selection,1
soft threshold,1
stationary wavelet transforms,1
thresholding,1
visual inspection,1
wavelet domain,1
wavelet thresholding,1
mean square error,1
noise pollution control,1
signal denoising,1
failure factors,1
focus groups,1
soft systems,1
availability and accessibility,1
nonlinearity,1
sleep apnea,1
fluorescent,1
fusion,1
nodes of ranvier,1
paranodes,1
k-d tree,1
optimum index factor,1
similarity criteria,1
gabor wavelet,1
indonesian paintings,1
visual arts,1
image restoration,1
old document image,1
bi-temporal images,1
classification model,1
land use pattern,1
augmented-vector approach,1
co-occurrence matrix features,1
erts-1,1
joint pair approach,1
landsat tm,1
multisensor fusion,1
principal component transform,1
semivariogram features,1
adaptive recognition,1
backpropagation learning,1
cluster distributions,1
kohonen self-organization network,1
recognition abilities,1
winning probability,1
image compression and decompression,1
jpeg,1
multispectral,1
spectrometer,1
transform coding,1
oncology,1
skin,1
karhunen-loeve transformations,1
malignant melanoma,1
skin cancer,1
economic and social effects,1
environmental engineering,1
regional planning,1
economic growth,1
environment quality,1
market accessibility,1
emphasis on applicability,1
co-occurrence matrix,1
adaptive lee,1
texture units,1
adaptive ability,1
decision-based,1
implementation aspects,1
its applications,1
logic programs,1
program transformations,1
answer set programming,1
course timetabling,1
hard constraints,1
lightweight application,1
modeling course,1
real-world problem,1
soft constraint,1
improved techniques,1
logical inference,1
change data capture,1
distributed system,1
extract transform load,1
counterfactuals,1
non-monotonic reasoning,1
sea,1
applications,1
dual-process model,1
machine ethics,1
qualm system,1
morals,1
judgment,1
moral transgressions,1
emotions,1
regret minimization,1
mathematical,1
human mind,1
stable models,1
counterfactual reasoning,1
critical thinking,1
computer games,1
cognitive capability,1
computational technique,1
ethical behavior,1
evolutionary game theory,1
intention recognition,1
moral judgment,1
updates,1
based reasonings,1
moral philosophy,1
program updates,1
declarative debugging,1
answer subsumption tabling,1
dual transformation,1
tabled logic programming,1
dual program transformation,1
updates propagation,1
xsb prolog,1
ocean color,1
regional algorithms,1
evolution prospection,1
p-log,1
uncertainty reasoning,1
behavioral research,1
artificial agents,1
cognitive aspects,1
cognitive science,1
intelligent tutoring system,1
cache utilization,1
l2 cache,1
runtimes,1
sat solvers,1
cache memory,1
abductive stable models,1
acorda,1
double effect principle,1
modelling morality,1
prospective logic,1
triple effect principle,1
trolley problem,1
moral decisions,1
moral dilemmas,1
codes (symbols),1
data freshness,1
execution traces,1
linear temporal logic,1
requirements engineering,1
constraint solving,1
finite number,1
requirement languages,1
security protocols,1
sensory perception,1
adaptive hybrid learning,1
artificial odor recognition system,1
competitive learning,1
self organized network,1
blood vessel,1
large scale dataset,1
chernoff bound,1
standard deviation,1
lidar,1
point cloud,1
pointnet,1
ardev,1
big data prediction,1
tree regression,1
crowdsourced,1
label,1
photo dataset,1
restaurant attributes,1
adaptive background learning,1
bhattacharyya distance,1
hole filling,1
its,1
recall,1
tracking,1
continuous conditional random field,1
probabilistic graphical model,1
diabetic retinopathy (dr),1
airline data,1
hyperbolic tangent,1
molecular dynamic simulation,1
pfenr,1
data storage equipment,1
analysis process,1
conventional database,1
data storage,1
data storage systems,1
data streaming,1
sampling areas,1
temporary storage,1
atmospheric composition,1
carbon,1
air temperature,1
correlation analysis,1
digital sensor nodes,1
environment conditions,1
light intensity,1
negative correlation,1
routing protocols,1
central nodes,1
comparative studies,1
encryption algorithms,1
high transmission,1
low-cost sensors,1
sampling points,1
security threats,1
odroid xu4,1
big traffic data,1
tanh,1
coefficient correlation,1
multilayer perceptron,1
rae,1
rmse,1
the canonical particle swarm optimization,1
adaptive selective background learning,1
traffic surveillance,1
intelligent traffic systems,1
traffic prediction,1
traffic visualization,1
background subtraction,1
adaptive neuro fuzzy inference system (anfis),1
closed-circuit television (cctv),1
integrated intelligent transport system (its),1
traffic data,1
virtual detection zone (vdz),1
headlights,1
speed regulators,1
low light conditions,1
normalized cross-correlation,1
number of vehicles,1
speed measurement,1
traffic information,1
hole-filling,1
pin-hole models,1
speed estimation,1
vehicle speed,1
computing applications,1
drug discovery,1
end-users,1
gromacs,1
molecular dynamics simulations,1
multi-platform,1
pharmaceutical fields,1
amber,1
cable stayed bridges,1
chemical compounds,1
molecular mechanics,1
parallel architectures,1
molecular dynamics,1
automated guide vehicles,1
design architecture,1
environment change,1
environmental change,1
fuzzy inference systems,1
it problems,1
robot controls,1
system failures,1
machine design,1
ultrasonic sensors,1
information sources,1
inteligent transportation system (its),1
speed accuracy,1
traffic problems,1
video processing,1
mobile agents,1
video signal processing,1
lvq,1
traffic intelligent system,1
centering theories,1
easy to implement techniques,1
extractive summarizations,1
human judgments,1
optimal ordering,1
relative order,1
sentence ordering,1
extreme programming,1
industrial extreme programming,1
rup,1
push-pull-mooring,1
switching intention,1
go-life,1
trust transfer,1
delone mclean,1
halo polisi,1
mobile government,1
success model,1
health inequity,1
dual process theory,1
investing,1
continues usage,1
perceived justice,1
perceived product quality,1
yap!,1
online trading,1
tra,1
five star hotel,1
hotel website,1
human resource information system,1
state-owned enterprise,1
social cognnitive theory,1
social exchange theory,1
tourism information,1
high school student,1
system implementation,1
e-money,1
design compatible,1
healthcare knowledge management system,1
knowledge management design,1
managing medical,1
end user,1
government efforts,1
iot ecosystem,1
positive security behavior,1
security promotion,1
ecc,1
federation,1
id-based cryptography,1
money laundering,1
virtual currency,1
elliptic curve,1
advanced sensing,1
caring home,1
ehealth,1
personalized context-aware applications,1
fog computing,1
iot platforms,1
m2m communications,1
taas,1
policy,1
rtu,1
telemetry,1
sip,1
intrusion detection,1
capability-based access control,1
identity establishment,1
admission control,1
cross-layer,1
ofdma,1
rrm,1
distributed computing,1
mapreduce,1
semisupervised,1
micro-blog,1
query reformulation,1
scoring functions,1
search performance,1
search results,1
time-stamp,1
weighting scheme,1
annotation,1
corpora,1
digital repositories,1
str,1
dna,1
forensic sciences,1
peak heights,1
weight,1
lag selection,1
sliding window,1
constructs association,1
correctness,1
equivalence,1
java,1
preserving,1
program graph,1
promela,1
combination method,1
linear combinations,1
canonical label,1
closed pattern,1
cls code,1
frequent pattern,1
graph mining,1
community mining,1
hidden community information,1
diameter,1
graph connectivity,1
minimum cut,1
community learning,1
anticipate change,1
function of enterprise architecture,1
reduce complexity,1
the village law,1
challenge,1
extended organization,1
jsc,1
value,1
blockchain in private university,1
blockchain technology,1
crypto-governance,1
graduate document,1
private university,1
coso framework,1
internal control,1
warehouse management,1
education 4.0,1
smart education,1
smart hybrid learning framework,1
smart learning,1
three-layer architecture,1
tax-free,1
audit of the academic information,1
information technology governance,1
scale,1
it governance mechanisms,1
public value,1
strategic it alignment,1
delone,1
emergency service,1
mclean is success model,1
criteria analysis,1
presidential election,1
ticket booking mobile application,1
adoption factors,1
critical success factors (cfs),1
project management office (pmo),1
capability maturity model integration (cmmi),1
global software development (gsd),1
process area (pa),1
software process improvement,1
e-commerce strategy,1
e-library,1
call-to-action,1
instagram for business,1
information systems development,1
projects,1
meta-analysis,1
smart village,1
data flow,1
finance management information systems,1
information systems integration,1
b2c e-commerce,1
desk research,1
digital cash,1
electronic transaction,1
electronic wallet,1
financial technology (fintech),1
payment system,1
e-consultation,1
b2c,1
scottish smart city maturity model,1
mckinsey 7s framework,1
pest analysis,1
public diplomacy,1
qspm,1
social media strategies,1
strategy formulation,1
software failure,1
telecommunication company,1
cruise,1
human resources information systems,1
ant,1
dana,1
e-portfolio model,1
portfolio,1
system,1
type,1
software development method,1
public sector,1
personal traits,1
e- loyalty,1
e-perceived value,1
e-trust,1
object oriented,1
smart home,1
laplace transforms,1
lighting,1
correlation coefficient,1
kernel density estimation,1
on-line experiments,1
online machines,1
user input,1
very fast decision trees,1
context-aware,1
help systems,1
smart doors,1
cluster-based routing,1
autonomous robot,1
hardware and software implementations,1
autonomic computing,1
pervasive computing,1
application autonomy,1
context-aware systems,1
control autonomy trade offs,1
user controls,1
adaptive systems,1
programmed control systems,1
interactive computer systems,1
aspiration-based design,1
integrated criminal justice systems,1
it/is alignment,1
needs-based design,1
strategic alignment model,1
e-archives,1
e-records,1
irmt,1
readiness measurement,1
static archives,1
disasters,1
disaster recovery,1
corruption,1
judiciary reform,1
rational choice,1
resistance,1
strategic alignment,1
stemming,1
speech knowledge,1
hierarchical rm,1
meta-computing,1
multilevel scheduling,1
interfaces (computer),1
packet networks,1
pipeline processing systems,1
routers,1
voice/data communication systems,1
differentiated services,1
packet forwarding,1
packet switching,1
network management,1
clusters of workstations,1
first come first served,1
global schedulers,1
global scheduling,1
local scheduling,1
scheduling decisions,1
two-level scheduling,1
c++ (programming language),1
helmet mounted displays,1
data presentation,1
graphical displays,1
head mounted displays,1
internal definitions,1
performance tools,1
scalable performance,1
technological change,1
electric power plant loads,1
network architecture,1
empirical - comparisons,1
multicomputer network,1
multicomputer systems,1
point-to-point communication,1
point-to-point network,1
shared memory architecture,1
total computation time,1
work-load distribution,1
computer hardware,1
computer system organization,1
current performance,1
flexible operating systems,1
operating system algorithms,1
operating system design,1
research questions,1
system softwares,1
university of illinois,1
basic units,1
character representations,1
morphological analysis,1
predictive accuracy,1
sub-word units,1
tri grams,1
dependency parser,1
network graph,1
treebanks,1
hmm-based speech synthesis,1
parametric models,1
speech synthesis system,1
speech waveforms,1
synthesized speech,1
textual data,1
speech synthesis,1
overlapping n-grams,1
plagiarism detection,1
government services,1
innovative product,1
qualitative methodologies,1
related entities,1
researcher mobility,1
sampling data,1
help seeking,1
markov chain analysis,1
metacognitive knowledge,1
metacognitive skills,1
type selection,1
systematic literature,1
cultural dimensions,1
cultural factors,1
supporting factors,1
bps,1
od-mm,1
ogd,1
initial model,1
smart knowledge map,1
implementation challenges,1
instagram-for-business,1
liniear regression analysis,1
ministry oftourism,1
pegi,1
quantitative,1
e-govemment,1
rice distribution,1
delphi 2nd round,1
nsgm,1
learning experience,1
sns,1
social network sites,1
student learning,1
knowledge management system success model,1
knowledge map system,1
knowledge mapping system,1
classify,1
didix,1
digital divide,1
km enablers,1
km seci processes,1
affecting factors,1
business strategy,1
job specifications,1
readiness levels,1
knowledge management maturity model,1
oil and gas industry,1
access to memory,1
atom,1
national archives information system,1
south halmahera,1
call center,1
academic information system,1
higher educational institution,1
model template controller,1
e-research,1
business process management,1
academic library,1
electronic resources,1
critical factor,1
e-impulse buying,1
hedonic web browsing,1
shopping enjoyment tendency,1
antecedents,1
online communities,1
product involvement,1
product knowledge,1
knowledge-based e-learning,1
digital learning environment,1
in-buildings,1
learning environments,1
meta-cognitive learning,1
socio-techincal,1
validation,1
realization,1
mobile purchase,1
transportation service,1
delphi method,1
fleiss kappa,1
agile software developments,1
environmental management information system,1
business process improvement,1
enterprise 2.0,1
is adoption model,1
accounting information system,1
ais,1
enterprise information system,1
enterprise integration,1
enterprise networking,1
health information system,1
health information system development,1
aerospace organization,1
self-assessment,1
follower,1
uml,1
nusantara,1
scrumban,1
ui,1
botulism,1
brainstorming,1
certainty factor,1
expert system,1
goat disease,1
tetanus,1
decision support,1
web-based information system,1
decision support/making,1
dss,1
kbdss,1
indonesian e-commerce,1
interaction design process,1
criticalknowledge,1
research laboratory,1
knowledge management implementation,1
mapping knowledge,1
itposmo,1
city,1
maturity framework,1
meta-synthesis,1
community dimensions,1
knowledge trust,1
online programming forums,1
social networking,1
creativity,1
operationalization,1
indonesia e-government ranking (pegi),1
national library of indonesia,1
information,1
kami index,1
usefulness,1
multi-products,1
rfm,1
sales prediction model,1
e-learning personalization,1
comparative analysis,1
costumer attitude,1
e-mail advertising,1
sms advertising,1
social media advertising,1
assessing knowledge,1
data gathering,1
it infrastructures,1
organizational capabilities,1
organizational structures,1
stratified random sampling,1
ethnophytomedicine,1
socio-technical approach,1
knowledge management cycle,1
employee participation,1
m-government,1
explicit knowledge sharing,1
social capital,1
tacit knowledge sharing,1
fishbone analysis,1
knn,1
national civil servant,1
welfare,1
commonkads,1
business process mode,1
hajj,1
metadata schema,1
e-mamosys,1
qa,1
csf for e-hajj,1
e-hajj inindonesia,1
e-hajj model,1
it posmo,1
inventory management,1
pharmacy,1
sequential pattern analysis,1
e-portfolio implementation,1
explicit knowledge,1
organizational knowledge,1
qualitative study,1
mixed method,1
agricultural vocational education,1
the performance of educational institutions,1
knowledge management mapping,1
adhocracy culture,1
clan culture,1
competing values framework,1
hierarchy culture,1
market culture,1
capture,1
discovery,1
sharing,1
medicinal plant,1
web semantic application,1
confirmatory,1
exploratory,1
office buildings,1
analytical approach,1
knowledge database,1
knowledge management technology,1
organizational activities,1
quantitative method,1
information eras,1
public services,1
research methodologies,1
research survey,1
healthcare organization,1
least squares approximations,1
management science,1
societies and institutions,1
education and training,1
several variables,1
tile based gis,1
enterprise architecture model,1
socio technical,1
data centers,1
government institutions,1
manage information,1
mission objectives,1
operational costs,1
rapid growth,1
abs,1
abstract behavioural specification,1
ac-mdwe,1
architecture-centric model-driven web engineering,1
modeldriven development,1
triangle inequality,1
rup (rational unified process),1
system design,1
cluster migration analysis,1
hot spots analysis,1
cluster centroids,1
cluster densities,1
cluster structure,1
distance matrices,1
real life datasets,1
relative density,1
synthetic datasets,1
temporal change,1
visualization method,1
world bank,1
strength of materials,1
taxation,1
attribute ranking,1
hot spot analysis,1
interactive drill-down visualization,1
drill-down,1
data processing,1
demonstrations,1
economics,1
cluster changes,1
real-world data set,1
structural cluster changes,1
depok,1
resnet50,1
smart tourism,1
touris attractions classification,1
betawi,1
image detection,1
traditional food,1
faster r-cnn,1
ristretto,1
structured sparsity learning,1
tegra txl,1
all-caps,1
governor,1
influencing factors,1
design science research methodology,1
bayesian network structural adjustment,1
bynowlife,1
ontology enrichment,1
owl and bayesian network integration,1
domain engineering,1
functional requirements (fr),1
nfr attributes,1
non-functional requirements (nfr),1
requirements engineering (re),1
ontology-based application,1
productivity,1
good governances,1
government performance,1
requirements recovery,1
software comprehension,1
software maintenance,1
architecture for integrated information system (aris),1
crm model,1
zachman framework,1
business-centric bsc,1
it bsc,1
operational crm,1
enterprise architecture (ea),1
higher education value chain,1
social crm framework,1
value chain process,1
workflow model,1
end-to-end interaction,1
requirements,1
requirements elicitation,1
requirements reconstruction,1
usi ontology,1
wimp-ui ontology,1
framework based on theory of crm (frontcrm),1
consistency,1
goal model,1
goal oriented requirement engineering (gore),1
swrl,1
commonality & variability,1
system architecture,1
case tools,1
custodial operations,1
data modeling,1
enterprise information,1
deep temporal sigmoid belief network,1
dtsbn,1
sequence generation,1
sign system for indonesian language,1
smartphone,1
heuristic,1
kinect sensors,1
sign language recognition,1
automatic translation,1
data-mining tools,1
training algorithms,1
cross-correlation function,1
cross-correlation value,1
high degree of accuracy,1
spectral domains,1
translation systems,1
cameras,1
strain measurement,1
android,1
notification,1
answer passages,1
document ranking,1
quality estimation,1
answer-biased summaries,1
cqa,1
document summarization,1
learning-to-rank,1
answer sentence selection,1
external features,1
answer summaries,1
delphi technique,1
sub-components,1
grounded theory,1
balanced,1
amount of information,1
implementation techniques,1
index structure,1
meta information,1
counting quantifiers,1
knowledge basis,1
large scale experiments,1
linguistic patterns,1
novel techniques,1
text sources,1
cardinalities,1
evaluation results,1
perfect recalls,1
completeness analytics,1
entity-centric kbs,1
meta-information,1
negative knowledge,1
nulls,1
certain answers,1
food allergies,1
positive data,1
data-sources,1
high level description,1
knowledge domains,1
theoretical framework,1
potential benefits,1
research communities,1
research environment,1
resource description framework,1
structured data,1
asia-pacific,1
geotag,1
travel,1
travel destination,1
travel satisfaction,1
intention to invest,1
religiosity,1
sharia,1
best practice,1
sap erp,1
gender equality,1
peer to peer lending,1
woman empowerment,1
health platform,1
self-diagnosis,1
initial trust,1
halodoc,1
mobile health application,1
medium credibility,1
stock investment virtual communities,1
continuance usage,1
mobile wallet,1
state-owned company (soe),1
personalization features,1
photos,1
restaurant recommender,1
review credibility,1
user intention,1
user perception,1
user experience evaluation,1
user-centered approach,1
web user profiling,1
embedded system,1
esp8266,1
microcontroller,1
peatland monitoring system,1
wireless sensor network,1
elasticsearch,1
federated,1
hybrid,1
institution,1
papers,1
peer-to-peer,1
plagiarism,1
application layer,1
application signature pattern,1
deep packet inspection,1
free/open source software,1
aeronautical telecommunication network (atn),1
atn over ip,1
generic routing encapsulation (gre),1
linux kernel 3.x,1
raspberry pi,1
business,1
culture,1
product categories,1
ux dimensions,1
adaptive user interface,1
adaptivity,1
emerging technologies,1
engagement in learning,1
learning services,1
business/ technology driver,1
readiness level,1
agent role,1
learning motivation,1
learning outcome,1
teachable agent,1
co-construction of knowledge,1
collaborative concept map,1
kit build,1
motivator,1
role agent,1
ict in schools,1
facet analysis,1
technology enhanced learning,1
tel,1
zachman's framework,1
time-based,1
a collaborative scheme,1
collaborative leadership,1
collaborative principal,1
cloud-based system,1
it adoption,1
e-learning system,1
educational data mining,1
online learning application,1
certification,1
graduate profile,1
it education,1
it jobs,1
job profile,1
skilled labor,1
addie,1
kinesthetic learning style,1
comprehension system,1
instructional design system,1
learning system,1
human-computer interaction,1
flipped classroom,1
instructional design,1
asynchronous communications,1
synchronous communications,1
coi model,1
measure the achievement,1
cross-cultural design,1
e-commerce design,1
hofstede cultural dimension,1
user-interface design,1
artifact development method,1
automation enabler,1
concept representation,1
competencies,1
online preparedness skills,1
mobile computing,1
e-learning environment,1
mobile applications,1
mobile technology,1
research and development,1
system usability,1
user centered design,1
continuous improvements,1
maturity levels,1
physics,1
hier-archical clustering,1
hierarchical agglomerative clustering,1
learning objects,1
multi documents summarization,1
ontology-based searching,1
patterns,1
information and communications technology,1
infrastructure,1
utilization,1
ux measurement,1
augmented reality,1
design-based learning,1
game-based learning,1
technology-supported learning,1
goal-directed design,1
social q and a,1
distance learning,1
massive open online course,1
handmade,1
information architecture,1
metrics,1
discussion forum,1
personalization systems,1
network function virtualization,1
ict adoptions,1
secondary schools,1
structured equation modeling,1
face validity,1
ils,1
index of learning style,1
adaptation,1
sus,1
cognitive action,1
information visualization,1
planning,1
cognitive actions,1
ilm modules,1
al-qur'an,1
arabic,1
arabic lesson,1
degree centrality,1
contextual inquiry,1
emergency room,1
hospital management information system,1
open courseware,1
learning programming online,1
programming,1
usability evaluation.,1
evolutionary optimization algorithm,1
optimization criteria,1
optimization problems,1
segment selection,1
semantic image segmentations,1
learning management systems,1
active learning,1
blended learning,1
face-to-face,1
hci,1
project-based,1
scaffolding,1
learning platform,1
open content,1
open course ware,1
granular,1
learning object,1
experimental groups,1
learning performance,1
science writing,1
instrument development,1
metacognitive,1
questionnaire,1
engineering online education,1
forethought,1
performance control,1
self-reflection,1
web-intensive course,1
shared note-taking,1
engineering college,1
interactive learning module,1
metacognitive strategies,1
mixed-methods study,1
enhanced guided notes (egn),1
self-regulated learning (srl),1
cognitive strategies,1
college freshmen,1
task interpretation,1
note-taking activity,1
expectancy for success,1
interest,1
asynchronous online discussion,1
cognitive skills,1
self-report assessment,1
semi-structured interview,1
content development,1
adjacency hyperedges matrix,1
composite objects relation,1
medical images,1
doppler shift,1
wind farm,1
ieee 802.11,1
tdma,1
wlan,1
gland images,1
